s,o,deathDate
http://www.wikidata.org/entity/Q2355223,http://hdl.handle.net/1887.1/item:1621630,1935-05-06T00:00Z
http://www.wikidata.org/entity/Q2355223,http://hdl.handle.net/1887.1/item:1623808,1935-05-06T00:00Z
http://www.wikidata.org/entity/Q5443926,http://hdl.handle.net/1887.1/item:1631409,1847-01-01T00:00Z
http://www.wikidata.org/entity/Q29421960,http://hdl.handle.net/1887.1/item:1622673,1720-01-01T00:00Z
http://www.wikidata.org/entity/Q18552608,http://hdl.handle.net/1887.1/item:1623551,1868-10-18T00:00Z
http://www.wikidata.org/entity/Q2221664,http://hdl.handle.net/1887.1/item:1631395,1938-12-31T00:00Z
http://www.wikidata.org/entity/Q2221664,http://hdl.handle.net/1887.1/item:1631133,1938-12-31T00:00Z
http://www.wikidata.org/entity/Q18508676,http://hdl.handle.net/1887.1/item:360418,1908-01-01T00:00Z
http://www.wikidata.org/entity/Q21645695,http://hdl.handle.net/1887.1/item:1620149,1743-06-26T00:00Z
http://www.wikidata.org/entity/Q21645695,http://hdl.handle.net/1887.1/item:1621646,1743-06-26T00:00Z
http://www.wikidata.org/entity/Q1375551,http://hdl.handle.net/1887.1/item:1625795,1780-11-14T00:00Z
http://www.wikidata.org/entity/Q53498450,http://hdl.handle.net/1887.1/item:1619508,1870-01-01T00:00Z
http://www.wikidata.org/entity/Q18508744,http://hdl.handle.net/1887.1/item:2004318,1932-03-05T00:00Z
http://www.wikidata.org/entity/Q512648,http://hdl.handle.net/1887.1/item:1625754,1816-01-30T00:00Z
http://www.wikidata.org/entity/Q15967304,http://hdl.handle.net/1887.1/item:1620749,1755-02-28T00:00Z
http://www.wikidata.org/entity/Q473684,http://hdl.handle.net/1887.1/item:2004321,1641-11-01T00:00Z
http://www.wikidata.org/entity/Q473684,http://hdl.handle.net/1887.1/item:1621470,1641-11-01T00:00Z
http://www.wikidata.org/entity/Q385997,http://hdl.handle.net/1887.1/item:1625591,1686-05-09T00:00Z
http://www.wikidata.org/entity/Q385997,http://hdl.handle.net/1887.1/item:1622447,1686-05-09T00:00Z
http://www.wikidata.org/entity/Q2714280,http://hdl.handle.net/1887.1/item:1620222,1849-01-09T00:00Z
http://www.wikidata.org/entity/Q930501,http://hdl.handle.net/1887.1/item:1622769,1839-12-15T00:00Z
http://www.wikidata.org/entity/Q559929,http://hdl.handle.net/1887.1/item:1622209,1733-05-08T00:00Z
http://www.wikidata.org/entity/Q23062375,http://hdl.handle.net/1887.1/item:1621878,1855-01-01T00:00Z
http://www.wikidata.org/entity/Q27508562,http://hdl.handle.net/1887.1/item:1620434,1880-06-02T00:00Z
http://www.wikidata.org/entity/Q1347434,http://hdl.handle.net/1887.1/item:1631405,1629-03-29T00:00Z
http://www.wikidata.org/entity/Q4773784,http://hdl.handle.net/1887.1/item:1621166,1700-01-01T00:00Z
http://www.wikidata.org/entity/Q323843,http://hdl.handle.net/1887.1/item:1623163,1678-10-18T00:00Z
http://www.wikidata.org/entity/Q18511825,http://hdl.handle.net/1887.1/item:360363,1742-05-09T00:00Z
